Hospital_Name,Hospital_Type,Hospital_Category,State,District,Pincode,Specialties,Facilities,Address_Original_First_Line,Telephone
Ashwini Nursing Home- Nerul,Clinic,0,Maharashtra,Thane,400706,0,0,"1 St Floor Shreeji Complex, Plot No.2 Sector-48,Nerul , Navi Mumbai",0
Athrav Nursing Home,Clinic,0,Maharashtra,Thane,400706,0,0,"Bhagwan Apart Plot No-72, Sector 44A, Near Hp Petrol Pump Opp Dena Bank Seawoods(West)",0
Ayurvedic Treatment Center,Clinic,0,Maharashtra,Thane,400706,0,0,"Office No 32, 1St Floor, Sai Prasad Shopping Complex, Sector 8, Nerul West, Navi Mumbai",0
Chaitanya Child Care Centre,Private,0,Maharashtra,Thane,400706,0,0,"Plot No 8-1, Sector 8, Near M G M School & L Market Nerul",0
Deb Surgical and Maternity Care Centre- Nerul- Navi,Private,0,Maharashtra,Thane,400706,0,0,"304/305, Agarwal Corner, Sector-21, Nerul, Navi Mumbai",0
Divya Nursing Home,Clinic,0,Maharashtra,Thane,400706,0,0,"Plot No.40,Sector 18-A, Nerul (W), Navi Mumbai",0
Dr D Y Patil Hospital and Research Center,Private,0,Maharashtra,Thane,400706,0,0,"Sector- 05, Nerul, Navi Mumbai",0
Dr.Sonawane's Hospital,Private,0,Maharashtra,Thane,400706,0,0,"F-1 / C-2, Sector-11, Next To Bus Depot, Nerul, Navi Mumbai",0
Eyemax Super Speciality Eye Centre,Private,0,Maharashtra,Thane,400706,0,0,"104,Neelkanth Plaza, Opposite D`Mart, Sector 40 Nerul- Seawoods (W), Navi Mumbai",0
Harish Hospital And Iccu,Private,0,Maharashtra,Thane,400706,0,0,"Sec-3, Plot-22, Near Rajiv Gandhi Bridge, Nerul (E) Navi Mumbai",0
Kamlesh Mother and Child Hospital,Private,0,Maharashtra,Thane,400706,0,0,"Ambika Shopping Complex, Plot No. 23 , Sector 8, Nerul, Navi Mumbai",0
"Mangal Prabhu Nursing Home, Polyclinic and Diagnostic Center",Clinic,0,Maharashtra,Thane,400706,0,0,"Plot No.27, Sector - 24, Near To Juinagar (W) Railway Station, Sanpada - Juinagar, Navi Mumbai",0
Millennium Hospital,Private,0,Maharashtra,Thane,400706,0,0,"Plot No. 19, Sec-40, Palm Beach Road, Near Seawoods Station(W)",0
Ojas Nursing Home,Clinic,0,Maharashtra,Thane,400706,0,0,"Plot No 8-3,Sector -8, Nerul Phase-Ii, Behind M G M School, Nerul Navi Mumbai",0
Padmashree Dr. D.Y. Patil Hospital and Research Centre,Private,0,Maharashtra,Thane,400706,0,0,"Sector-05, Nerul, Navi Mumbai",0
Patoriya Eye Hospital,Private,0,Maharashtra,Thane,400706,0,0,"Plot No.301, Mahavir Niwas, Sec-21, Nerul,  Navi Mumbai",0
Sanjivani Hospital and Iccu,Private,0,Maharashtra,Thane,400706,0,0,"Sangharsha Bldg., Plot No. 53A 1St Floor, Near Sarsole Bus Depot, Phase Iii, Nerul",0
Shivam Eye Foundation P P N,Private,0,Maharashtra,Thane,400706,0,0,"Plot No. 14, Sec-25, Behind H. P. Petrol Pump, Seawood - West, Nerul (E), Navi Mumbai",0
Shree Balaji Hospital - Nerul,Private,0,Maharashtra,Thane,400706,0,0,"Plot # 21, Sector 48, Nerul, Thane,Navi Mumbai",0
Shushrusha Heart Care Centre and Speciality Hospital,Private,0,Maharashtra,Thane,400706,0,0,"Plot No.-22-A , Phase-Iii , Sec-6 , Palm Beach Road, Nerul, Navi Mumbai",0
Sobti Clinic,Clinic,0,Maharashtra,Thane,400706,0,0,"001, Red Rose Plot-27 Sector-2, Vashi Navi Mumbai",0
Surya Hospital and Iccu,Private,0,Maharashtra,Thane,400706,0,0,"Plot No.21-B, Sec-11, Near Ayyappa Temple, Nerul(E), Navi Mumbai",0
Suyash Nursing Home and Iccu,Clinic,0,Maharashtra,Thane,400706,0,0,"Bldg No F-1 Sector 3 , Shivaji Chowk, Nerul, Navi Mumbai",0
Terna Sahyadri Speciality Hospital And Research Centre,Private,0,Maharashtra,Thane,400706,0,0,"Plot No 12, Sector - 22, Phase - 2, Opp New Railyway Station, Navi Mumbai Navi Mumbai",0
Aarya Multispecility Hospital and I C C U,Private,0,Maharashtra,Thane,400708,0,0,"Skyline Residency , A 101 Plot 5, Sector 8, Kamothe,Navi Mumbai",0
Aayush Multispeciality Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Aayush Villa, K-6 & 7, Row House, Sector-4, Airoli, Navi Mumbai",0
Asha Hospital and Iccu,Private,0,Maharashtra,Thane,400708,0,0,"Sector - 4, Near Max Mall,Asiatic Society, Near Petrol Pump",0
Avadhoot Hospital and Iccu,Private,0,Maharashtra,Thane,400708,0,0,"Plot No. 29, Sector-19, Opposite Nhp School, Airoli, Navi Mumbai",0
"Criti Care Iccu, Multispeciality and Trauma Centre",Private,0,Maharashtra,Thane,400708,0,0,"Plot No-2A, Swami Samarth Complex Sector-16 Airoli New Mumbai",0
Disha Hospital,Private,0,Maharashtra,Thane,400708,0,0,"U-119, Sector 4, Airoli",0
Dr Mahajans Hospital and Itc,Private,0,Maharashtra,Thane,400708,0,0,"R- 831, Rable, T.T.C, Thane Belapur Road, Navi Mumbai",0
Dr Manes Gawali Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Rabale Naka, Thane - Belapur Road, Navi Mumbai",0
Dr Rajiv Chandras Asha Hospital and Iccu,Private,0,Maharashtra,Thane,400708,0,0,"Sector 5, Airoli, Navi Mumbai, Plot No. 134",0
Dr. Doke's Shraddha Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Panchsheel Arcade, 1St Floor, Near Sahakar Bazar, Sector-5, Airoli, Navi Mumbai",0
Dr. Heritage Health Care,Private,0,Maharashtra,Thane,400708,0,0,"Plot No.6A, Sec 6,Behind Icici Bank,Airloi",0
Dr. Mahajan`S Hospital and Industrial Trauma Centre,Private,0,Maharashtra,Thane,400708,0,0,"R-831, T.T.C, Thane Belapur Road, Rabale, Navi Mumbai",0
Indravati Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Sector-3, Near Airoli Bus Depot, Airoli, Nav",0
Jasmine Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Panchsheel Vishal Complex, 1St Floor, Sector-5 Near Sai Nidhi Hotel Airoli Navi Mumbai",0
Modi Hospital Iccu,Private,0,Maharashtra,Thane,400708,0,0,"Plot 1,2, 3, 4, Sector 2, Airoli",0
National Burns Center and General Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Sector - 13, Plot No. 1, Ramdas Swami Marg",0
Om Sai Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Vraj Vihar Society, Plot No.05,Near Airali Circle, Se-16, Near Sai Sagar Hotel,Airoli",0
Parulekar Nursing Home,Clinic,0,Maharashtra,Thane,400708,0,0,"Vikas Niketan, Plot 8/3A, Sector 6, Near Siemens Quarters, Airoli, Navi Mumbai",0
Royal Nursing Home,Clinic,0,Maharashtra,Thane,400708,0,0,"Plot No.7, Sector-1, Airoli, Navi Mumbai",0
Sai Krupa General Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Sector-19, Plotno-29Airoli(E)",0
Sai Seva Hospital and Icu,Clinic,0,Maharashtra,Thane,400708,0,0,"Row House, B-1 Sect-4, OppositeCidco Water Tank, Airoli,Navi Mumbai",0
Sanjivni Hospital,Private,0,Maharashtra,Thane,400708,0,0,"Rajkamal Building, 1St Floor",0
Shree Eye Clinic,Clinic,0,Maharashtra,Thane,400708,0,0,"Rh No: 14, National C H S Behind Airoli Bus Depot Sector-3 Navi Mumbai",0
Suruchi Eye Centre - Airoli - Navi Mumbai,Private,0,Maharashtra,Thane,400708,0,0,"B - 2, Asiatic Co-Op Society, Near Asha Hospital, Sec  4, Airoli Sec-4, Airoli",0
Thanawalas Clinic For Women,Clinic,0,Maharashtra,Thane,400708,0,0,"Rosewood, Sector 2, Airoli Navi Mumbai",0
Yash Nursing Home,Clinic,0,Maharashtra,Thane,400708,0,0,"Plot No-U1, Behind Shridhar Hospital , Near Navratri Prasad Hotel, Sector 4, Airoli , Navi Mumbai",0
Archana Maternity Nursing Home,Clinic,0,Maharashtra,Thane,400709,0,0,"101-102,1St Floor,Girirajdham Chs, Sector-10,Plot No.11,Near D.Mart,Koperkhairane",0
Balaji Healthcare At Rajpal Hospital,Private,0,Maharashtra,Thane,400709,0,0,"Plot 13, Sector 10,D - Mart,Koperkhairane",0
Dr Ajayan's Multispeciality Hospital,Private,0,Maharashtra,Thane,400709,0,0,"Plot No 6, Sector-9 Opp: Rf Naik School Ground, Koparkhairane Khairane Navi Mumbai",0
Dr. Dive S Eye Clinic,Clinic,0,Maharashtra,Thane,400709,0,0,"Rh-3, Jitendra Soc ,Plot No .91, Sector -3, Main Road Koperkhairane, Navi Mumbai",0
Dr. Shendges Siddhivinayak (Om Gangangiri) Hospital,Private,0,Maharashtra,Thane,400709,0,0,"Near Rajandevi Mandir, Sector 19, , Near Shiv Sena Office, Koparkhairane",0
Dr.P.B.Pandes Shramasafalya Balchikista Kendra,Private,0,Maharashtra,Thane,400709,0,0,R H Plot 60 Ground Floor Sector 4 Koparkhairance Navi Mumbai,0
Gurukul Hospital,Private,0,Maharashtra,Thane,400709,0,0,"Plot No.17,Sector12A,Opp Kalash Udyan, Near Govind Apt. Kopar Khairane",0
Kaustubh Nursing Home,Clinic,0,Maharashtra,Thane,400709,0,0,"Plot No. 76, Sector 6, , Kopar Khairane",0
Nidhi Eye and Skin Care Centre,Private,0,Maharashtra,Thane,400709,0,0,"Girirajdham, Plot No. 11, Sector 10, Koper Khairane, Navi Mumbai",0
Om Gagangiri Hospital,Private,0,Maharashtra,Thane,400709,0,0,"102, Shubham Cooperative Society, Sector-18, Plot-77, Near Kotak Mahindra Bank, Koparkhairane",0
Sai Snehdeep Hospital,Private,0,Maharashtra,Thane,400709,0,0,"Plot 12-13, Sector-20, Koparkhairane",0
Saraswati Skin and Eye Care Centre,Clinic,0,Maharashtra,Thane,400709,0,0,"A/42, Sagar Co.Ophousing Society, Sector-10, Koparkhairane, Navi Mumbai",0
Satyam Multispeciality Hospital and Trauma Centre,Private,0,Maharashtra,Thane,400709,0,0,"Plot No.12, Sec-14, Opposite D-Mart Circle, Koparkhairane, Navi Mumbai",0
Sidhivinayak (Om Ganangiri) Hospital,Private,0,Maharashtra,Thane,400709,0,0,"H.No. 145, Tulsibai Mhatre Marg, Near Ranjandevi Mandir, Koperkhairne Gain, Navi",0
Vedaant Multispeciality Hospital,Private,0,Maharashtra,Thane,400709,0,0,"1St Floor, Natasha Towers, Plot No.84, Sector No.17,OppositeMmmc Hospital,Khairane,Navi Mumbai",0
Vidhi Eye and Skin Care Centre,Private,0,Maharashtra,Thane,400709,0,0,"Giriraj Dham Plot. No11, Sector -10,1St Floor, Nxt 2 Pancharatna Hotel,Koparkhairane,Navi Mumbai",0
Agarwal Nursing Home,Clinic,0,Maharashtra,Thane,401101,0,0,"C - 12-15, Bombay Market, Station Road, Bhayender (W)",0
Baradkar Hospital,Private,0,Maharashtra,Thane,401101,0,0,"A- 3, Meera Queen, Opp Laxmi Cars, Westerna Express, Highway Kashmira, Thane, Mira Road",0
Bhanu Clinic,Clinic,0,Maharashtra,Thane,401101,0,0,"16, Akash Ganga, D J Sanghvi Rd, Bhayander West",0
Dr Kulkarnis Orthopaedic Nursing Home,Clinic,0,Maharashtra,Thane,401101,0,0,"Veetrig Ii, Devchand Nagar, Ii Bldg Near Jain Mandir, 50 Ft Road, Bhayander West",0
Geeta Eye Clinic and Surgical Centre,Clinic,0,Maharashtra,Thane,401101,0,0,G-7 Shivaleen Besides Sudama Tower Opp Ganesh Mandir Bhaji Market 60 Feet Road Bhaynder W,0
Kamala Eye Clinic,Clinic,0,Maharashtra,Thane,401101,0,0,"Indira Complex, 60 Feet Road, Bhayander(W)",0
Kkasturi Medicare Pvt Ltd,Private,0,Maharashtra,Thane,401101,0,0,"Harshniketan, Gaondevi Road, Behind Navrang Hotel, Bhayander(West)",0
Kkasturi Medicare Pvt. Ltd.,Private,0,Maharashtra,Thane,401101,0,0,"1 Harshniketan, Gaondevi Road, Behind Navrang, Bhayander (W)",0
Poonam Manav Seva Kendra,Clinic,0,Maharashtra,Thane,401101,0,0,"16/19 Kiran Bldg, Patel Nagar,Station Road,Bhayandar (W)",0
R L Ent Hospital,Private,0,Maharashtra,Thane,401101,0,0,"Shree Sai Mahal Bldg, 1St Floor, Opp Post Office, Fatak Rd, Bhayander West",0
Ramlok Ent Clinic,Clinic,0,Maharashtra,Thane,401101,0,0,"G/2-B, B-L Ratna Jyot Bldg., 60 Feet Rd, Near Icici Bank, Bhayander(W)",0
Sai Kripa Eye Hospital and Poly Clinic,Clinic,0,Maharashtra,Thane,401101,0,0,"Kamla Park,Bldg,B-3,Flat-004, Ground Floor, 60 Feet Road,Bhayander(W)",0
Salasar Nursing Home,Clinic,0,Maharashtra,Thane,401101,0,0,"B/ Ground Floor, Salasar Classic, Near Nagar Bhavan Hall, Fhatak Road, Bhayandar West",0
Sanjeevani Children Hospital,Private,0,Maharashtra,Thane,401101,0,0,"418 , Indra Complex, 60 Feet Road Bhayander West1",0
Seetabai Children Hospital,Private,0,Maharashtra,Thane,401101,0,0,"# 1-2, Pooja Geetanjali Nagar, Opposite Rajesh Hotel, Bhayander (West)",0
Shraddha Maternity Nursing Home (P) Ltd,Clinic,0,Maharashtra,Thane,401101,0,0,"Bhayander West, Mumbai",0
Shree Sidhivinayak Orthopaedic Hospital,Private,0,Maharashtra,Thane,401101,0,0,"G-4/10, Indira Complex. 60Feet Road Bhayander",0
Shri Narayani Netralaya,Private,0,Maharashtra,Thane,401101,0,0,"3/4, Om Sundaram Tower, OppositeDutta Mandir, Uttan Road, Bhayandar(W)",0
Dr Suris Maternity And Surgical Nursing Home,Clinic,0,Maharashtra,Thane,401102,0,0,"R-103, Gokul Village, Mira Rd, East",0
Hamzah Nursing Home,Clinic,0,Maharashtra,Thane,401102,0,0,101102 201 202 Neel Kanth Apt Near Western Park Mashachapada Kashimira Mira Road E,0
Sushrut Maternity and Surgical Nursing Home,Clinic,0,Maharashtra,Thane,401102,0,0,"101, Shupkarna Bldg No 5, Siddharth Nagar, Mira Road East",0
Aashirwad Maternity and General Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Samir Apts, Gr Floor, Jesel Park Nr.Ganesh Mandir, Bhayanader",0
Aditi Dental Clinic,Clinic,0,Maharashtra,Thane,401105,0,0,G-9 Sai Ratnam-B Cabin Road Bhayandar (E),0
Al-Falah Health Care,Private,0,Maharashtra,Thane,401105,0,0,1St Floor Marvel Building Sanghvi Complex Near Sonali Hotel Mira Road E,0
Apple Hospital and Medical Centre,Private,0,Maharashtra,Thane,401105,0,0,"Ground Floor,Bldg.No.31/32,New Golden Nest,Phase Xi,Mira-Bhayandar Road,Bhayandar(E)",0
Asha Orthopaedic Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Bashi Kalinagar No. 2, Geeta Bhavan Lane, Off. Navghar Road, Bhayander",0
Ashirwad Maternity and General Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Samir Apartment, Ground Floor, Jesal Park, Bhaynder (E)",0
Balaji Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Sonam Ekta Tower,1St Floor,Golden Nest,Phase-Vi,Near Flyover Signal,Mira-Bhayandar Road,Bhayandar(E)",0
Chirayu Superspeciality Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Ground Floor Vimal Deep Sarvoday Paradise Behind Balaji Hospital, Mira Bhayandar Road",0
Dr.Mallyas Pathology Laboratory,Clinic,0,Maharashtra,Thane,401105,0,0,"Riddhi Sidhi Hospital Pvt Ltd, 1St Floor Sheetal Plaza, OppositeShivar Garden,Mira Bhayandar (E)",0
Golden Multispeciality Hospital,Private,0,Maharashtra,Thane,401105,0,0,"B-Wing, Sai Geeta Darshan Building, OppositeCanara Bank,New Golden Nest,Bhayandar (E)",0
Gurukrupa Hospital and Polyclinic,Clinic,0,Maharashtra,Thane,401105,0,0,"Savitri Apt. Opposite Kashi Bhavan, B.P. Road, Khari Village, Bhayander",0
Jugura Hospital - Thane,Private,0,Maharashtra,Thane,401105,0,0,"A-101-102, Balaji Darshan Bldg, New Golden Nest Road, Behind Golden Nest Police Chowky",0
Mangal Murti Hospital and Polyclinic,Clinic,0,Maharashtra,Thane,401105,0,0,"1St Floor, Prathvi Sadan B.P. Road, Bhayandar (E)",0
Nakoda Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Devchand Nagar, Mr. Famous Jain Mandir",0
Neel Orthopaedic Superspeciality Hospital,Private,0,Maharashtra,Thane,401105,0,0,"1St Flr,Sheetalniketanco-Operativehousingsociety,OppositeHum Video ,B.P.Road",0
Netrakhushi Eye And Laser Centre,Private,0,Maharashtra,Thane,401105,0,0,"B-105/106, Ganga Smruti Society, B.P.Road, Near Prashant Hotel, Bhayander (East)",0
Padamawati Maternity and Nursing Home,Clinic,0,Maharashtra,Thane,401105,0,0,"215-216,Building No 2Oswal Ornate Jesal Park",0
Pradha Maternity and Medical Nursing Home,Clinic,0,Maharashtra,Thane,401105,0,0,"G7/11, Rajeshwari B Chs Ltd., OppositeMbmc School, Talav Road, Bhayander(East)",0
Prajwal Eye and Dental Clinic,Clinic,0,Maharashtra,Thane,401105,0,0,"A-Krishnaneela Apt, B.P.Road, Bhayander East",0
Rradha Maternity and Medical Nursing Home,Clinic,0,Maharashtra,Thane,401105,0,0,"G7/11,Rajeshwari B Chs Ltd., Opposite Mbmc Schooltalav Road, Bhayandar (E)",0
Sai Aashirwad Hospital Iccu and Polyclinic,Clinic,0,Maharashtra,Thane,401105,0,0,"A-101,103,104,105,106,Ratnadeep Building, Salasar Nagar, Navghar Road, Bhayander (East)",0
Sai Kripa Childrens Maternity And Surgical Hospita,Private,0,Maharashtra,Thane,401105,0,0,"202, Ostwal Shopping Centre, Opposite Bhayander Rly Stn.(East)",0
Saxena Children and General Hospital,Private,0,Maharashtra,Thane,401105,0,0,"102, Ganga Narayan Smriti, B . P Road, Opp Electric Bill Office, Near Railway Station Bhayander East",0
Saxena Children's Hospital,Private,0,Maharashtra,Thane,401105,0,0,"102, Ganga Narayan Smriti, B . P Road, Opp Electric Bill Office, Near Railway Station Bhayander East",0
Shalom Medicare Pvt. Ltd.,Private,0,Maharashtra,Thane,401105,0,0,"Shalom Ark, Annapurna Estate Phase Iv, Behind Indralok Phase Vi, Opposite Raj Classic, Bhayander (E)",0
Shobhana Maternity and Surgical Home,Private,0,Maharashtra,Thane,401105,0,0,Krishna Nila Apatment B.P.Road Bhayandar (E),0
Shubham Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Sheetal Niketan Tower, 1St Floor, Opposite Hum Video, B. P. Road, Bhayander",0
Subham Hospital,Private,0,Maharashtra,Thane,401105,0,0,"Sheetal Niketan Tower, 1St Floor Opp, Hum Video B P Rd, Bhayandar (E)",0
Sudha Hospital and Polyclinic,Clinic,0,Maharashtra,Thane,401105,0,0,"Sai Jyot Building, 1St Floor, Cabin Road Near Bhayandar Railway Station (East)",0
Dr Dragos Life Line General andMaternity Hospital,Private,0,Maharashtra,Thane,401106,0,0,"Siddarth Nagar, Opposite Sheetal Nagar, Rickshaw Stand, Mira Road(E)",0
Possa Hospital and Polyclinic,Clinic,0,Maharashtra,Thane,401106,0,0,"Light House, Devtalao Rd Uttan, Bhayander (W)",0
A Care Orthopaedic and General Hospital,Private,0,Maharashtra,Thane,401107,0,0,"G-1, Giriral Tower,Sai Baba Nagar,Opposite New Petrol Pump, Bhy- Miral Road Highway, ,Miraroad",0
Aryan Child Healthcare Centre,Private,0,Maharashtra,Thane,401107,0,0,"B-22/002, Broadway Avenue, , R N A Complex, Near Jangid Circle, Mira Road (E)",0
Badri-Vishal Polyclinic and Hospital,Clinic,0,Maharashtra,Thane,401107,0,0,"B 11/12, Poonam Nagar, Shanti Park Phase Iii, Mira Road (E)",0
Better Sight and Research Center,Private,0,Maharashtra,Thane,401107,0,0,"Sector 7, B/29-004, Shantivagar, Mira Road East",0
Bhakti Vedanta Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Srishti Complex, Bhaktivedanta Swami Marg, Mira Road (East)",0
Deepak Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Holy Complex, Near Sai Petrol Pump, Opposite White House Hotel, Mira-Bhayandar Road,Mira Road (E)",0
Dinesh Iccu-Nicu and General Hospital,Private,0,Maharashtra,Thane,401107,0,0,"B Wing, Sai Geeta Darshan, Opposite New Golden Nest, Bhayander East, Mumbai",0
Galaxy Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Vasudev Acrade,Kanakia Road Ahead Of Cinemax Off Mira Bhayandar Road Mira Road",0
Gayatri Maternity and Ear Nose Throat Hospital,Private,0,Maharashtra,Thane,401107,0,0,"101- 102, Sandhya Co-Op-Hsg Society , 1St Floor , A-4, Sector 4, Shanti Nagar, Mira Road East",0
Hitankshi Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"E-003, F-1, 2, 4, Indraprastha Bldg., Poonam Vihar, Behind Ayyappa Temple, Miraroad (East) Miraroad (East)",0
Indra Maternity and Surgical Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"Sector 7 &, B27-28, Shantinager, Dr.Ambedkar Marg, Mira Road",0
Janak Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Arihant Apartment, Ground Floor, Near Don Bosco School, Shanti Park, Mira Road(East)",0
Karuna Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"1St Flr., Shivalay Appt., Beverly Park Road, , Near Mira Road Police Station, Mira Road (E)",0
Khurana Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"Ist Flr, Shivalay Appt, Beverly Park Road, Police Station",0
Life Care Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Poonam Archade, 1St Floor, Sheetal Naka, Near S. K. Stone Police Chowky, Mira Road (E)",0
Mahavir Diagnostic Centre,Clinic,0,Maharashtra,Thane,401107,0,0,Mira Road Mumbai,0
New Healthcare Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"C- Satellite Park, Near Green Court Club,Hatkesh,Mira Bhayander Road,Mira Road (E)",0
Om Hospital,Private,0,Maharashtra,Thane,401107,0,0,"D/9, Phase 3, Opposite Sector 7, Poonam Nagar, Shanti Park, Mira Road",0
Om Sai Ent Clinic,Clinic,0,Maharashtra,Thane,401107,0,0,"14, B-1, Sector - 2, Shantinagar, Mira Road (E)",0
Orbit Super Speciality Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Western Express Highway, Opposite Amar Palace Hotel, Near Dahisar Check Naka, Mira Road (E) Near Dahisar Check Naka, Mira Road (E)",0
Prana Criti Care Clinic,Clinic,0,Maharashtra,Thane,401107,0,0,"Dolphine Aparmtent, Ground Floor Medthia Nagar Phase-I N Wing Opp Seven Square Academy School Mira Bhayander Road Mira Road(E)",0
Ravi Surgical Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"Ground Floor, Kedarnath, Building Opposite 52 Jinalaya 60Ft. Road Bhayandar (W)",0
Roshni Maternity and Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,A-1 Unique Accord Ground Floor Behind Shops Off Mtnl Road Near City Union Bank Shanti Park Mira Road E,0
"Sai Aashirwad Hospital, Evershine Enclave",Private,0,Maharashtra,Thane,401107,0,0,"Shivam, Sai Sadan, House No. 1, Behind Rassaz Shopping Mall, Evershine Enclave, Mira Road (E)",0
Sai Yash Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Ravi Park Chs. Ltd., Ground Floor, Next To Vijay P, Behind Amber Plaza Party Hall, Mira Road (East)",0
Samartha Hospital,Private,0,Maharashtra,Thane,401107,0,0,"1St Floor,A-Wing,Ashadeep Chs,Silver Park(Opposite Vijay Sales)",0
Sanjeevani Hospital For Women And Children,Private,0,Maharashtra,Thane,401107,0,0,"A-7 , Sector 2 , Shantinagar , Mira Road ( East )",0
Shah Lifeline Hospital and Heart Institute Pvt. Ltd. - Thane,Private,0,Maharashtra,Thane,401107,0,0,"Geeta Nagar, Phase Vii, Mira Bhayander Road, Near Flyover Bridge , Mira Road (East )",0
Shiv Om Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Shiv Om Tower Opposite Golden Nest Complex , Mira Bhyander Road Mira Road (E)",0
Sushant Maternity and Surgical Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"101/102, Bld No-5 Siddharth Nagar, Mira Road (E)",0
Sushrusha Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Sheetal Swar, Sheetal Nagar, Behind Sonman Hotel, Opposite Archies Gallery, Mira Road",0
Take Care Maternity And Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"4, B-Wing Sai Vikas C H S Near New Petrol Pump Mira Bhayandar Road Mira Road(E)",0
Tanwar Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Tanwar Tower, Pk Road, Mira - Bhayandar Road, Mira Road (E)",0
Telang Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"Shanti Nagar, Mira Road",0
Thunga Hospital Pvt Ltd,Private,0,Maharashtra,Thane,401107,0,0,"Near Raymonds Showroom Off Mira Bhayander Road Mira Road East  , Mira Road",0
Tirupati Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,Mira Road(E),0
Umarao Hospital,Private,0,Maharashtra,Thane,401107,0,0,"Asmita Enclave, Asmita Township, Mira Road (E)",0
Umrao Hospital,Private,0,Maharashtra,Thane,401107,0,0,Asmita Enclave Mira Road,0
Vipassana Hospital,Private,0,Maharashtra,Thane,401107,0,0,"B-001/002, Swar, Sheetal Nagar, , Opposite Archies Gallery, Mira Road (East)",0
Yashoda Maternity and Nursing Home,Clinic,0,Maharashtra,Thane,401107,0,0,"1St Floor, Sanghvi Sai Darshan Near Silver Park, OppositeSaibaba Temple, Mira Road(E)",0
Chaphekar Iccu Diabetes Hospital - Vasai (W),Private,0,Maharashtra,Thane,401201,0,0,"Ashok Nagar, Ambadi Road,Vasai (W)",0
Colony Nursing Home,Clinic,0,Maharashtra,Thane,401201,0,0,"Ranjit M.G. Road,Vasai",0
Dr. Anup D Souza Orthopaedic Surgeon,Private,0,Maharashtra,Thane,401201,0,0,"Sethi Palace, Ambadi Road, Vasai (W)",0
Dsouza Hospital,Private,0,Maharashtra,Thane,401201,0,0,"Opposite Ramedi Church School, Vasai (W)",0
D'souza Hospital,Private,0,Maharashtra,Thane,401201,0,0,"Ramedi, Near Church School, Vasai Village, Parnaka, Vasai West",0
Om Hospital,Private,0,Maharashtra,Thane,401201,0,0,"Shree Panta Nagari, OppositeShani Mandir, Remedi, Vasai(W)",0
Pravin Raut Maternity and General Hospital,Private,0,Maharashtra,Thane,401201,0,0,"Vadavli , Vasai",0
Sushila Nursing Home,Clinic,0,Maharashtra,Thane,401201,0,0,"Bhaskar Aali, Shankarbaba Gavankar Road, Vasal",0
Aastha Hospital,Private,0,Maharashtra,Thane,401202,0,0,"104, New Krishna Housing Society, Near Dhuri Motors, Ambadi Road, Vasai(W)",0
Anupam Medical Centre,Private,0,Maharashtra,Thane,401202,0,0,"103, Mukesh Apt, Station Road, Vasai West",0
"Chaphekar Iccu , Diabetes Hospital",Private,0,Maharashtra,Thane,401202,0,0,"Ashok Nagar, Ambadi Road, Opposite Bhaji Market, Vasai Rd (W), Opposite Bhaji Market, Vasai Rd (W)",0
Dr Kulurs Hospital,Private,0,Maharashtra,Thane,401202,0,0,"Sahyagiri,Veer Savarkar Nagar, Navghar Road Vasai",0
Dr Menons Ent Hospital,Private,0,Maharashtra,Thane,401202,0,0,"2Nd Floor Abhijaat , Opp Panchal Nagar",0
